name,description,image,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,energy_level,intensity,exercise_needs,potential_for_playfulness,dog_breed_group,height,weight,life_span
afador,"The Afador is a mixed breed doga cross between the Afghan Hound and Labrador Retriever dog breeds. Loyal, energetic, and affectionate, these pups inherited some of the best qualities from both of their parents.Afadors are also sometimes known as the Afghan Lab. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Dont shop if youre looking to add an Afador to your home!Afadors make excellent family pets, although they do better with older children and seasoned dog owners who can give the breed the training and attention they require. Afadors also make for good guard dogs, and theyre alert to strangers. The mixed breed is very energetic and athletic, so access to a safe outdoor space is preferred.See below for all mixed dog breed traits and facts about Afadors! (Picture Credit: posted with permission from LA Animal Rescue & Jason Nastaszewski of JNC Media)",https://www.dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-cover.jpg,1,1,3,3,4,2,4,2,3,1,4,3,2,3,4,4,1,5,4,4,4,4,4,4,4,3,Mixed Breed Dogs,20 to 29 inches,50 to 75 pounds,10 to 12 years
affenhuahua,"The Affenhuahua is a mixed breed doga cross between the Chihuahua andAffenpinscher dog breeds. Petite, sassy, and highly energetic, these pups inherited some of the best traits from both of their parents.Affenhuahuas are also sometimes called Affen Chi. Despite their status as a designer breed, you can find these mixed breed dogs in shelters and rescues, so adopt! Dont shop!These compact, cute pups make great apartment dogs for active city dwellers, though they can also thrive in small or single-person households. They can also be a bit territorial and yappy. If you want an energetic, sassy dog who will keep you on your toes, alert you to any dangers, and love you unconditionally, the Affenhuahua may be the right dog for you!DogTime recommends this carrier for traveling with your small Affenhuahua. You should also pick up this dog water bottle for any outdoor adventures you have with your pup!See below for all mixed dog breed traits and facts about Affenhuahuas! (Picture Credit: Dhwee/Getty Images)",https://www.dogtime.com/assets/uploads/2020/02/affenhuahua-mixed-dog-breed-pictures-COVER.jpg,4,4,4,1,2,3,4,3,2,2,2,1,4,4,5,1,3,3,4,2,4,2,4,3,3,3,Mixed Breed Dogs,6 to 12 inches,4 to 12 pounds,13 to 18 years
affenpinscher,"Dogs of the Affenpinscher breed were originally created to act as ratters in homes, stables, and shops. Bred down in size, they moved up in the world, becoming ladies companions. Today, they are happy, mischievous companion dogs.Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop if you want to bring a dog home.Affenpinschers adore their humans, but they prefer the company of adults. They dont take well to rough play, chasing, or being held on a lap without the freedom to jump down on their own time. But grown-up pet parents will find that these dogs are loving, loyal, and protective despite their small size.See below for complete list of dog breed traits and facts about Affenpinschers!",https://www.dogtime.com/assets/uploads/2011/01/file_23096_affenpinscher-460x290.jpg,5,4,3,1,3,3,5,1,4,3,1,1,3,4,3,1,2,4,4,3,2,2,4,3,3,4,Companion Dogs,9 to 11 inches tall at the shoulder,7 to 9 pounds,12 to 14 years
afghan hound,"The Afghan Hound is elegance personified. This unique, ancient dog breed has an appearance quite unlike any other: dramatic silky coat, exotic face, and thin, fashion-model build. Looks aside, Afghan enthusiasts describe this hound as both aloof and comical.Hailing from Afghanistan, where the original name for the breed was Tazi, the Afghan is thought to date back to the pre-Christian era and is considered one of the oldest dog breeds.Although theyre purebred dogs, you may find Afghan Hounds in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible!Affectionate and adaptable, these dogs do well in just about any size of home with any size of family. That said, youll need to spend quite a bit of time maintaining that luxurious coat, not to mention plenty of exercise to handle their high energy levels. If you can provide the care that they need, youll have a loving companion who will surely turn heads with their gorgeous looks.DogTime recommends this big, spacious crate to give your big Afghan a place to rest and relax.You should also pick up this dog brush and massager for your long-haired pup!See all Afghan Hound characteristics below!",https://www.dogtime.com/assets/uploads/2011/01/file_23004_afghan-hound-460x290.jpg,5,3,5,2,5,5,5,5,4,2,4,1,1,3,1,4,1,4,3,5,2,5,5,2,4,4,Hound Dogs,24 to 26 inches tall at the shoulder,50 to 60 pounds,10 to 12 years
airedale terrier,"Known as the King of Terriers, the Airedale is indeed the largest of all terriers. The dog breed originated in the Aire Valley of Yorkshire and was created to catch otters and rats in the region between the Aire and Wharfe Rivers. An able sporting dog, they became an ideal working dog as well, proving their worth during World War I.Although these are purebred dogs, you may find them in the care of rescue groups or shelters. Opt to adopt if you want to bring one of these pups home!Intelligent, outgoing, and confident, the Airedale Terrier possesses a wonderful playful streak that delights their humans. Novice pet parents and apartment dwellers should beware, though. These dogs have high energy and need plenty of exercise, and their intensity might be a little much for first-time dog trainers. But if you can meet the breeds physical needs and provide them with space to run, preferably in the form of a big yard with a tall, secure fence, then youll be rewarded with a playful, loving companion for the whole familyeven kids!DogTime recommends this dog bed to give a good nights sleep to your medium-sized Airedale Terrier.You should also pick up this dog fetch toy to help burn off your pups high energy!See all Airedale Terrier dog breed facts and characteristics below!",https://www.dogtime.com/assets/uploads/2011/01/file_23050_airedale-terrier-460x290.jpg,1,2,3,2,3,3,4,4,4,3,2,1,2,3,4,3,4,5,5,5,4,4,5,3,5,5,Terrier Dogs,21 to 23 inches tall at the shoulder,40 to 65 pounds,10 to 13 years
akbash,"The Akbash is a rare, purebred dog from the country of Turkey. Loyal, alert, and intelligent, these pups have some of the best qualities you could ask for.These pooches go by several other names, including Coban Kopegi, Akba oban Kpei, and Askbash Dog. Despite their status as a rare breed, you may find these purebred dogs at local shelters or rescues. Remember its always better to adopt and not shop!These amazing pups are very protective of their families and have strong guarding instincts. Theyre big dogs and better suited for larger homes with yards or near open areas where they can roam around. Theyre fiercely independent but love to be around their human family. Akbashes are great with children but need early socialization if theyll live with other dogs or pets in the home. If you want a protective and loyal dog who will love you unconditionally, then the Akbash may be right for you!See below for all Akbash facts and dog breed characteristics!",https://www.dogtime.com/assets/uploads/2019/12/akbash-dog-breed-pictures-cover.jpg,1,2,3,4,4,2,5,4,3,2,4,2,3,4,4,4,3,4,3,1,3,1,2,2,2,3,Working Dogs,27 to 34 inches,75 to 140 pounds,10 to 12 years
akita,"The Akita is a large and powerful dog breed with a noble and intimidating presence. They were originally used for guarding royalty and nobility in feudal Japan. These dogs also tracked and hunted wild boar, black bear, and sometimes deer.The Akita does not back down from challenges and does not frighten easily. Consequently, they are fearless and loyal guardians of their families. Yet they are also affectionate, respectful, and amusing dogs when properly trained and socialized.An Akita is bound to shed quite a bit, and you may be wiping some drool from their face if you bring one home. Certainly, owners should be prepared for some cleanup. Furthermore, they tend to be stubborn and are not overly fond of strangers. While those can be good traits for a watchdog, theyll need an experienced trainer if theyre to interact with other animals or people. Novices beware.That said, dogs of this breed are faithful companions that will be attached to the right human for life and shower them with adoration and love. Therefore, if you and your family are up for the challenge and consider adopting an Akita, youll have a lifelong friend who wont let you down.Also, see all Akita dog breed characteristics below!",https://www.dogtime.com/assets/uploads/2011/01/file_22906_akita-460x290.jpg,2,2,5,1,5,2,5,1,1,2,5,5,1,4,4,4,2,3,3,4,5,4,4,3,4,5,Working Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",70 to 130 pounds,10 to 12 years
akita chow,"The Akita Chow is a mixed breed doga cross between the Akita and Chow Chow dog breeds. Large, independent, and loyal, these pups inherited some of the best traits from both of their parents.The Akita Chow can also be called Chakita. Despite their unfortunate status as a designer breed, you may find these mixed breed pups in shelters and breed specific rescues, so remember to adopt! Dont shop!Akita Chows are quiet, and while they may not be overly affectionate, they are incredibly protective and loyal. Expert dog parents recommended! You will have your work cut out for you with training, as theyre known for being willful and can even be obstinate. The Akita Chow would make a great addition for an active family with older children or in a single person home, so long as they get plenty of exercise and will not be left alone for long periods.They wouldnt be suitable for an apartment but would love a house with a yard so they have plenty of room to stretch their legs. Youll also need to invest a fair amount of time into their training. Akita Chows would make great walking, running, or hiking companions. This is a highly intelligent dog. Keep them stimulated and keep them content!DogTime recommends this big, spacious crate to give your big Akita Chowa place to rest and relax.You should also pick up this dog de-shedder for your high shedding pup!See below for allAkita Chow facts and mixed dog breed characteristics! (Picture Credit: Seregraff/Getty Images)",https://www.dogtime.com/assets/uploads/2020/04/akita-chow-mixed-dog-breed-pictures-cover.jpg,2,1,4,2,5,2,1,1,1,2,4,3,1,2,4,4,2,4,3,4,2,3,4,4,4,2,Mixed Breed Dogs,23 to 25 inches,88 to 145 pounds,10 to 12 years
akita pit,"The Akita Pit is a mixed breed doga cross between the Akita and American Pit Bull Terrier dog breeds. Intelligent, protective, and loyal, these pups inherited some of the best traits from both of their parents.Akita Pits are also sometimes called Pit Akita or Akita Pit Bull. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and rescues, especially given how many Pit Bull mixes are in shelters. So remember to adopt! Dont shop!These adorable dogs are fairly adaptable and can thrive in smaller homes with active urban dwellers, though theyre best suited to larger homes or families. If you want a protective dog who will test your boundaries every once in a while, alert you to any dangers, and love you unconditionally, then the Akita Pit may be the right dog for you!DogTime recommends this dog bed to give a good nights sleep to your medium-sized Akita Pit.You should also pick up this dog brush and massager for your short-haired pup!See below for all mixed dog breed traits and facts about Akita Pits! (Picture Credit: Alexandra Draghici/Getty Images)",https://www.dogtime.com/assets/uploads/2020/02/akita-pit-mixed-dog-breed-pictures-COVER.jpg,3,1,2,4,3,3,4,3,3,2,3,3,4,4,4,4,3,4,3,4,3,1,3,4,3,3,Mixed Breed Dogs,16 to 23 inches,30 to 70 pounds,10 to 12 years
akita shepherd,"An Akita Shepherd is a mixed breed doga cross between the Akita and German Shepherd Dog breeds. Stoic, loyal, and hard-working, these pups inherited some of the best traits from both of their parents.The Akita Shepherd is sometimes also called a Shepkita. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These adorable mixed breed dogs make great apartment pups for active urban dwellers, though as a larger dog, they are best suited to houses or homes with more space. They are quiet but alert, which also makes them excellent watchdogs for both singles and families. If you want a stoic, loyal dog whos eager to please and will alert you of any potential danger, the Akita Shepherd might be the right dog for you.DogTime recommends this big, spacious crate to give your big Akita Shepherd a place to rest and relax.You should also pick up this dog brush and massager for your long-haired pup!See below for all mixed dog breed traits and facts about Akita Shepherds! (Picture Credit: Alexandra Draghici/Getty Images)",https://www.dogtime.com/assets/uploads/2020/03/akita-shepherd-mixed-dog-breed-pictures-cover.jpg,3,3,2,3,4,3,4,3,3,3,4,2,3,3,3,4,4,4,2,3,1,2,3,3,4,3,Mixed Breed Dogs,24 to 28 inches,75 to 120 pounds,10 to 13 years
alaskan klee kai,"Small, smart, and energetic, the Alaskan Klee Kai is a relatively new breed that looks like a smaller version of the Siberian Husky. Even the name Klee Kai comes from an Inuit term meaning small dog.While Alaskan Klee Kais may resemble larger Husky breeds, they have some key differences, especially when it comes to temperament, that distinguish it from its ancestor working class dogs of the north. This breed is more suited to the life of a companion; although, the Alaskan Klee Kai shares the high energy of the Husky and demands plenty of exercise.They also tend to be shy around strangers and are prone to expressing their emotions with whines and barks. An inexperienced pet parent would find it difficult to take on the challenge of caring for an Alaskan Klee Kai. But for an adopter who keeps up with training and physical activity, this breed is sweet, loyal, and happy to shower loved ones with affection.See below for full list of dog breed traits and facts about Alaskan Klee Kais!",https://www.dogtime.com/assets/uploads/2017/11/alaskan-klee-kai-breed-pictures-cover-460x260.jpg,3,2,4,2,5,2,4,3,2,2,4,2,4,4,2,2,4,4,2,5,3,4,4,2,4,4,Companion Dogs,13 to 17 inches,10 to 15 pounds,12 to 16 years
alaskan malamute,"The Alaskan Malamute features a powerful, sturdy body built for stamina and strength. It reigns as one of the oldest dog breeds whose original looks have not been significantly altered. This intelligent canine needs a job and consistent leadership to avoid becoming bored or challenging to handle.Novice pet parents, beware. Dogs of this breed are sensitive and need plenty of companionship and open space. They are not well-suited to apartment life, and they are certainly high-shedding pooches who need plenty of grooming to keep their coats healthy. Expect to clean up dog hair all year long, and especially during shedding season.Alaskan Malamutes are high-energy dogs, and therefore require vigorous exercise. If you plan to leave them home while youre at work, you may see some anxious, destructive behavior. A dog walker or pet sitter during the day is practically a must if you cant be home, yourself.An Alaskan Malamute will do well with an experienced pet parent, lots of open space to roam and burn off energy, and a cooler climate. If you can meet this breeds needs, youll have an intelligent, highly-trainable, loving companion for life.See all Alaskan Malamute characteristics below!",https://www.dogtime.com/assets/uploads/2011/01/file_22908_alaskan-malamute-460x290.jpg,1,1,4,1,5,2,4,3,2,5,5,1,1,4,3,4,4,4,3,4,5,5,5,5,5,5,Working Dogs,"1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder",75 to 100 pounds,12 to 15 years
american bulldog,"The American Bulldog is stocky and muscular, but also agile and built for chasing down stray cattle and helping with farm work. In fact, some are known to jump six feet or more into the air.American Bulldogs are intelligent and affectionate, which makes them great, protective family dogs; although, they have high exercise needs and require an experienced, active pet parent. They can vary in appearance, as there are multiple types, including theBully or Classic type, also known as the Johnson type, the Standard or Performance type, also called the Scott type, andhybrids of the two.With patient training and care, American Bulldogs can make loving family companions. If youre looking for a loving, energetic best buddy, then this may be the dog for you!See below for full list of dog breed traits and facts about American Bulldogs!",https://www.dogtime.com/assets/uploads/2017/12/american-bulldog-breed-pictures-9-460x260.jpg,1,1,4,1,2,2,5,4,2,2,1,4,4,3,2,4,4,3,2,4,2,3,4,4,4,4,Working Dogs,20 to 28 inches,60 to 120 pounds,10 to 16 years
american eskimo dog,"Called the dog beautiful by admirers, the American Eskimo Dog, or Eskie, is a striking canine with their white coat, sweet expression, and black eyes. Theyre a Nordic dog breed, a member of the Spitz family.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Eskies are lively, active companion dogs who love to entertain and join in on all family activities. Theyre outgoing and friendly with family and friends, but reserved with strangers. Although the Eskie is a small dog  10 to 30 pounds  they have a big-dog attitude.See below for complete list of dog breed traits and facts about American Eskimo Dogs!",https://www.dogtime.com/assets/uploads/2011/01/file_23134_american-eskimo-dog-460x290.jpg,5,4,4,2,5,3,5,5,5,4,5,1,3,5,4,2,5,4,3,3,4,3,5,3,4,5,Companion Dogs,15 to 19 inches tall at the shoulder,Starts at 30 pounds,12 to 15 years
