name,description,image,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,energy_level,intensity,exercise_needs,potential_for_playfulness,dog_breed_group,height,weight,life_span
american foxhound,"Easygoing, sweet, kind, and loyal, the American Foxhound dog breed belongs to a way of life that has continued for more than two centuries, but they have the potential to be a modern-day companion as well.Although theyre purebred dogs, you may find American Foxhounds in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible!The American Foxhounds stamina and love of running make them great jogging partners for athletic pet parents, and their mild nature makes them excellent family dogs, so long as they get the exercise they crave. Although theyre low maintenance and affectionate pets, apartment dwellers and novice owners should beware. This breeds energy and intensity mean that they need plenty of space to run and a commitment to lots of active play time.DogTime recommends this dog bed to give a good nights sleep to your medium-sized American Foxhound.You should also pick up this dog water bottle for any outdoor adventures you have with your pup!See below for a complete list of dog breed traits and facts about American Foxhounds!",https://www.dogtime.com/assets/uploads/2011/01/file_23006_american-foxhound-460x290.jpg,1,2,2,1,4,4,4,5,5,4,3,1,5,5,5,3,2,3,3,4,5,5,5,4,5,5,Hound Dogs,21 to 25 inches tall at the shoulder,40 to 60 pounds,12 to 13 years
american hairless terrier,"The American Hairless Terrier is the only hairless dog breed indigenous to the United States, and the breeds creation was something of a happy accident. Today, the breed is known as an active companion dog and an especially great choice for allergy sufferers.Some fans of the new breed abbreviate the name to AHT, while some refer to them as hairless Rat Terriers.Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop if this is the breed for you.Like all terriers, the American Hairless Terrier is a curious, spunky, and intelligent dog breed. They can thrive in larger family homes with kids or with active urban dwellers in apartments or condos. If youre looking for a small dog who enjoys snuggling, being a goof, and alerting you to potential dangers, the American Hairless Terrier just might be the dog for you!DogTime recommends this carrier for traveling with your small American Hairless Terrier.You should also pick up this interactive puzzle toy to keep your pup active indoors!See below for complete list of dog breed traits and facts about American Hairless Terriers!",https://www.dogtime.com/assets/uploads/2020/04/american-hairless-terrier-dog-breed-pictures-cover.jpg,4,3,3,2,1,3,4,4,3,3,1,1,5,4,4,2,3,4,3,4,3,3,4,3,3,5,Terrier Dogs,12 to 16 inches,10 to 16 pounds,13 to 16 years
american leopard hound,"The American Leopard Hound is a purebred dog whose ancestors came from Mexico by way of Spanish conquistadors who sailed to North America. They are energetic, sociable, and intelligent pooches who possess all-around great traits.The American Leopard Hound goes by other names, such as the Leopard Cur, American Leopard, and American Leopard Cur. You can look for this pure breed by checking your local shelters or rescues. Remember its best to adopt and not shop!These sweet pups are natural hunting dogs and have very high energy. That means they do best in homes with big yards to run around in. Theyre able to bond strongly with humans, which makes them well-suited for households of all types, from single pet parents to families with children. If you want an energetic dog who loves to run and keep you on your toes, alerts you to any dangers, and adores you completely, then this may be the right dog breed for you!See below for all dog breed traits and facts about American Leopard Hounds!",https://www.dogtime.com/assets/uploads/2019/09/american-leopard-hound-dog-breed-picture-cover.jpg,2,4,3,3,4,4,5,4,4,3,2,2,4,4,2,4,4,4,3,4,4,4,4,3,4,4,Hound Dogs,21 to 27 Inches.,35 to 75 pounds.,12 to 15 years.
american pit bull terrier,"The American Pit Bull Terrier is a companion and family dog breed. Originally bred to bait bulls, the breed evolved into all-around farm dogs, and later moved into the house to become nanny dogs because they were so gentle around children.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Their tenacity, gameness, and courage make them popular competitors in the sports of weight pulling, agility, and obedience. Of course, you can also find them living as companions, showering their humans with love and affection.Its important to remember that dogs of any breed can suffer from health issues throughout their lives. A good pet insurance plan can help you prepare to give your dog the care they need at any age. Click here to get a pet insurance plan for your Pit Bull!See below for a complete list of dog breed traits and facts about American Pit Bull Terriers!",https://www.dogtime.com/assets/uploads/2011/01/file_23052_pitbull-dog-breed-pittie.jpg,3,2,4,1,2,3,5,5,1,5,4,1,5,4,3,3,4,4,5,3,3,4,4,5,4,5,Terrier Dogs,17 to 19 inches tall at the shoulder,30 to 85 pounds,12 to 16 years
american pugabull,"The American Pugabull is a mixed breed dog  a cross between the American Bull Dog and Pug dog breeds. Medium in size, alert, and loyal, these pups inherited some of the best qualities from both of their parents.American Pugabulls are also called Bull Pugs. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues, so remember to adopt! Dont shop!These adorable pups fit in nicely with big families and also make great apartment dogs for active urban dwellers Theyre loyal and playful yet very protective  if youre a family member, this pup will not hesitate to protect you. They will alert to any suspicious characters who approach your door. They will also alert you to any non suspicious characters. Socialize them early with people and animals. Read on and find out if the American Pugabull is the right dog for you!See below for all American Pugabull facts and mixed dog breed characteristics!",https://www.dogtime.com/assets/uploads/2019/08/american-pugabull-mixed-dog-breed-pictures-cover.jpg,3,3,4,1,2,3,5,4,3,3,3,3,4,2,3,3,3,3,2,4,4,2,4,4,3,5,Mixed Breed Dogs,12 to 20 inches,25 to 70 pounds,12 to 14 years
american staffordshire terrier,"The American Staffordshire Terrier is a muscular breed known for being strong for its size; however, theyre also loving and affectionate with human family members. American Staffordshire Terriers enjoy nothing more than being with the humans they care about, whether theyre out for a jog, playing in the yard, or cuddling up on the couch.They are intelligent and eager to please, which makes them highly trainable; although, that intelligence means they need mental stimulation. If they dont get it, theyll put those strong jaws to use and chew anything out of boredom. American Staffordshire Terriers can also use their strength to pull dog walkers along with ease wherever they want to go if they arent trained properly. This means they need a strong, confident trainer who will set boundaries without being overly harsh.Socialization is also important to help the breed overcome its natural standoffish tendencies when it comes to other animals. This breed loves having a job to do, and they do well in athletic competitions, police work, and obedience training. With proper training, the American Staffordshire Terrier can be a loyal cuddle bug and family companion, as well as a competent working dog.See below for full list of dog breed traits and facts about American Staffordshire Terriers!",https://www.dogtime.com/assets/uploads/2018/01/american-staffordshire-terrier-dog-breed-pictures-cover-460x260.jpg,2,2,3,2,2,3,4,4,2,4,2,3,4,3,2,3,4,4,5,3,4,3,3,5,3,4,Terrier Dogs,16 to 19 inches,40 to 60 pounds,10 to 15 years
american water spaniel,"The American Water Spaniel was bred to be an all-around hunting dog. Specializing in waterfowl, these skilled swimmers will happily retrieve from small boats, protected by their water-resistant double coats.Thisbreed has the high energy of a dog born to chase and retrieve game, but given enough exercise, they can also make great family companions. If you can keep up and provide plenty of space to run, then this may be the breed for you!DogTime recommends this dog bed to give a good nights sleep to your medium-sized American Water Spaniel.You should also pick up this dog fetch toy to help burn off your pups high energy!See all dog breed traits and facts about American Water Spaniels below!",https://www.dogtime.com/assets/uploads/2011/01/file_22954_american-water-spaniel-460x290.jpg,2,2,5,1,2,4,5,5,2,3,3,1,3,3,3,3,4,3,5,2,3,5,5,2,5,5,Sporting Dogs,"1 foot, 3 inches to 1 foot, 6 inches tall at the shoulder",25 to 45 pounds,12 to 15 years
anatolian shepherd dog,"The Anatolian Shepherd Dog is a native of Turkey, where they were bred as a shepherds companion and livestock guardian. They were created with specific traits to resemble the size and color of livestock they defended so predators wouldnt detect them among the flock.Sometimes called the Anatolian Karabash Dog or Kangal (which is considered a separate breed by many kennel clubs), theyre a fiercely loyal guard dog and a large, impressive dog breed, frequently weighing 120 to 150 pounds at maturity.Novice pet parents beware. Not only are dogs of this breed big; theyre generally known to be stubborn. Anatolian Shepherd Dogs require firm, consistent trainers with experience handling dogs. Also, be ready to clean up all the fur they shed throughout the year.A trained and well-socialized Anatolian Shepherd is a friend and guardian for anyone they consider to be their flock, which includes the human members of their family. Theyre even friendly with their human children; although, their size makes it easy for them to knock over a kid during vigorous play. They may also chase other pets or animals if their humans dont train them properly.Therefore, socialization and behavior training should start early on, ideally in puppyhood. If youre willing to stay firm with training, you have the strength to handle a large pooch, and youre willing to put in the time and dedication, then an Anatolian Shepherd Dog will be your friend and guardian for life.See below for complete list of Anatolian Shepherd Dog breed characteristics!",https://www.dogtime.com/assets/uploads/2011/01/file_22910_anatolian-shepherd-dog-460x290.jpg,1,2,4,3,5,3,3,2,2,1,2,3,4,3,3,5,4,4,2,2,2,4,3,3,3,3,Working Dogs,"2 feet, 3 inches to 2 feet, 5 inches tall at the shoulder",80 to 150 pounds,11 to 13 years
appenzeller sennenhunde,"The Appenzeller Sennenhunde originated as an all-around farm dog breed, who stayed busy herding the livestock, guarding the farm, and pulling carts in their native Switzerland. Todays Appenzellers still have the energy, smarts, and self-confidence that makes for valuable working dogs  but theyre anything but low-maintenance.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Dogs of this breed need lots of exercise, training, and a job to do. Apartment dwellers beware! These dogs need space to run and play. But families who can provide the mental and physical stimulation these dogs need will be rewarded with an affectionate, loyal companion. Theyll even adore kids; although, they may fall into some herding habits without proper training. Socialize and teach your dog early, and youll have a loving, furry family member!See below for full dog breed traits and facts about Appenzeller Sennenhundes!",https://www.dogtime.com/assets/uploads/2011/01/file_23244_what-is-the-appenzeller-sennenhunde-dog.jpg,1,3,3,1,5,4,5,5,3,2,3,1,5,4,3,3,4,4,5,3,5,3,4,4,5,4,Herding Dogs,19 to 22 inches tall at the shoulder,48 to 55 pounds,9 to 12 years
auggie,"The Auggie is a mixed breed doga cross between the Australian Shepherd and Corgi, andtypically, the Miniature Australian Shepherd and the Pembroke Welsh Corgi. Friendly, energetic, and playful, these mixed breed herding dogs make great companions for the whole family.Auggie is sometimes spelled as Augi, Auggi, or Augie, and sometimes theyre known as Aussie-Corgi. Despite their status as a designer dog, you may find Auggies at general dog shelters or rescues. Adopt! Dont shop!These affectionate, curious, frisky pups would do best with a family who can give them both the attention and the play they crave. They do very well with people of all ages, as well as other pets, so theyd fit right in with most families or even single owners as long as they get enough attention.Apartments would be more challenging homes for them, because of their high energy level, so a house with a backyard would be a better fit. Although their truest sense of purpose is to herd, Auggies are also wonderful companion dogs and quick to alert of any danger or change in environment.See below for all mixed dog breed traits and facts about Auggies!",https://www.dogtime.com/assets/uploads/2019/09/auggie-mixed-dog-breed-pictures-cover.jpg,2,3,4,3,4,3,5,5,5,4,4,1,2,3,4,3,5,5,3,3,4,3,5,4,5,5,Mixed Breed Dogs,10 to 13 inches,20 to 30 pounds,12 to 15 years
aussiedoodle,"The Aussiedoodle is a mixed breed dog  a cross between the Australian Shepherd and Poodle dog breeds. Incredibly smart, playful, and loyal, these pups inherited some of the best qualities from both of their parents.Aussiedoodles go by several names, including Aussiepoo and Aussiepoodle. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues. So please remember to adopt! Dont shop!These active dogs, often referred to as an Einstein breed for their smarts, do well in homes that can provide plenty of attention and exercise. The Aussiedoodle makes an excellent family dog, as long as smaller children know how to safely play with the pup. They are also incredible therapy dogs, given how quickly they bond to a specific human or two.See below for all mixed dog breed traits and facts about Aussiedoodles!",https://www.dogtime.com/assets/uploads/2019/07/aussiedoodle-mixed-dog-breed-pictures-cover.jpg,2,3,3,2,3,3,5,4,4,4,3,4,3,4,4,3,5,5,3,3,2,3,5,4,5,5,Mixed Breed Dogs,10 to 15 inches,25 to 70 pounds,10 to 13 years
aussiepom,"The Aussiepom is a mixed breed dog  a cross between the Australian Shepherd and Pomeranian dog breeds. Affectionate, fun-loving, and nothing short of adorable, these pups inherited some of the best traits from their parents.Aussiepoms tend to be called just thatAussiepoms  which is sometimes spelled Aussie Pom or Aussi Pom instead. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues, so remember to adopt! Dont shop!While these mixed breed pooches can be small and adorable, their energy is anything but. As a relatively new mixed breed with very different parents, the temperament of these dogs can vary greatly. They make great companions for individuals or households with older children. If you want a dog who loves to play games and will keep you on your toes, the Aussiepom just might be the dog for you!See below for all Aussipom mixed breed characteristics!",https://www.dogtime.com/assets/uploads/2019/07/aussiepom-mixed-dog-breed-pictures-cover.jpg,3,2,3,2,3,3,4,3,4,4,3,2,2,4,4,3,4,4,4,2,3,2,5,3,4,5,Mixed Breed Dogs,11 to 17 inches,10 to 30 pounds,12 to 15 years
australian cattle dog,"The Australian Cattle Dog is an extremely intelligent, active, and sturdy dog breed. Developed by Australian settlers to handle herds of cattle on expansive ranches, theyre still used today as a herding dog. They thrive on having a job to do and on being part of all family activities.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Australian Cattle Dogs are loyal and protective of their families, though wary of outsiders. Besides herding work, they do well at canine sports, including agility, obedience, rally, flyball, and flying disc competitions. Novice pet parents and apartment dwellers beware; these dogs need a lot  a lot!  of mental and physical activity to stay happy and healthy, and to prevent bored, destructive behavior. If you have a home with plenty of room to run, and you can keep up with such an active pup, this may be the breed for you!See below for complete list of dog breed traits and facts about Australian Cattle Dogs!",https://www.dogtime.com/assets/uploads/2011/01/file_23166_australian-cattle-dog-460x290.jpg,2,1,4,3,4,4,5,3,4,2,3,1,4,5,4,3,5,5,5,4,2,4,5,5,5,5,Herding Dogs,17 to 20 inches tall at the shoulder,30 to 50 pounds,12 to 15 years
australian kelpie,"The Australian Kelpie was originally bred to have the energy, intelligence, and independence to herd livestock all day in the hot Australian climate without much need for supervision. They retain those qualities to this day.People still use Australian Kelpies across Australia and the United States for their herding instincts. That suits these dogs just fine, as theyre happiest when they have a job to do. Those who want to keep one of these dogs as a pet would do well to remember that because a bored Australian Kelpie may make their own fun by acting out and engaging in destructive behavior.The good news is that these dogs are easy to train for almost any task, so long as they have a confident, competent trainer who can give positive reinforcement without being too harsh.Australian Kelpies are fully capable of performing many dog sports, search and rescue work, nose work, service dog duties, and more. They have high energy and high exercise needs. While they can handle doing a job with little supervision, they need human companionship and direction.Leaving them home alone for long periods of time can spell disaster. Their natural herding instincts need to be contained and used properly from an early age; otherwise, they may end up nipping at the heels of children, other pets, and even guests. But with time and training, they can make loyal companions who excel as watchdogs and work tirelessly at any task.See below for complete list of Australian Kelpie characteristics!",https://www.dogtime.com/assets/uploads/2018/04/australian-kelpie-dog-breed-pictures-header-460x260.jpg,2,2,4,2,3,5,4,2,3,2,3,1,4,3,2,3,5,5,5,4,4,4,5,3,5,4,Herding Dogs,15 to 20 inches,25 to 46 pounds,10 to 15 years
australian retriever,"The Australian Retriever is a mixed breed doga cross between the Australian Shepherd and Golden Retriever dog breeds. Loyal, intelligent, and friendly, these pups inherited some of the best traits from both of their parents.You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Dont shop if youre looking to add one of these pups to your home!If youre looking for a devoted family dog whos also smarter than your average pooch, the Australian Retriever could be a perfect addition to your household. The mixed breed loves children and is quick to form long-lasting and loving bonds with the humans in their life.Just be aware that the Australian Retriever is one of the most energetic dogs aroundso youll need to be able to commit to providing lots of exercise and play time and have a suitably spacious living arrangement.See below for all mixed dog breed traits and facts about Australian Retrievers!",https://www.dogtime.com/assets/uploads/2019/10/australian-retriever-mixed-dog-breed-pictures-cover.jpg,1,4,3,2,4,4,4,4,3,3,3,2,3,4,4,4,4,4,2,3,2,4,5,3,5,4,Mixed Breed Dogs,19 to 23 inches,25 to 60 pounds,12 to 15 years
